"","Most recent year:","#1 Ranked","#1 Ranked","#1 Ranked","#2 Ranked","#2 Ranked","#2 Ranked","#3 Ranked","#3 Ranked","#3 Ranked","#4 Ranked","#4 Ranked","#4 Ranked","#5 Ranked","#5 Ranked","#5 Ranked","#6 Ranked","#6 Ranked","#6 Ranked","#7 Ranked","#7 Ranked","#7 Ranked","#8 Ranked","#8 Ranked","#8 Ranked","#9 Ranked","#9 Ranked","#9 Ranked","#10 Ranked","#10 Ranked","#10 Ranked","Remaining native tree species","Remaining native tree species","Remaining native tree species","TOTAL native tree species","TOTAL native tree species","TOTAL native tree species","#1 Ranked","#1 Ranked","#1 Ranked","#2 Ranked","#2 Ranked","#2 Ranked","#3 Ranked","#3 Ranked","#3 Ranked","#4 Ranked","#4 Ranked","#4 Ranked","#5 Ranked","#5 Ranked","#5 Ranked","Remaining introduced tree species","Remaining introduced tree species","Remaining introduced tree species","TOTAL introduced tree species","TOTAL introduced tree species","TOTAL introduced tree species","Total growing stock","Total growing stock","Total growing stock"
"","Most recent year:","Common name","Million m³","% of total growing stock in forest","Common name","Million m³","% of total growing stock in forest","Common name","Million m³","% of total growing stock in forest","Common name","Million m³","% of total growing stock in forest","Common name","Million m³","% of total growing stock in forest","Common name","Million m³","% of total growing stock in forest","Common name","Million m³","% of total growing stock in forest","Common name","Million m³","% of total growing stock in forest","Common name","Million m³","% of total growing stock in forest","Common name","Million m³","% of total growing stock in forest","Common name","Million m³","% of total growing stock in forest","Common name","Million m³","% of total growing stock in forest","Common name","Million m³","% of total growing stock in forest","Common name","Million m³","% of total growing stock in forest","Common name","Million m³","% of total growing stock in forest","Common name","Million m³","% of total growing stock in forest","Common name","Million m³","% of total growing stock in forest","Common name","Million m³","% of total growing stock in forest","Common name","Million m³","% of total growing stock in forest","Common name","Million m³","% of total growing stock in forest"
"Burundi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cabo Verde","2013","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cambodia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cameroon","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Canada","2017","black spruce","14921.24","31.94","trembling aspen","4955.92","10.61","lodgepole pine","3189.51","6.83","white spruce","3064.67","6.56","jack pine","1989.31","4.26","western hemlock","1856.40","3.97","subalpine fir","1853.55","3.97","Engelmann spruce","1695.29","3.63","balsam fir","1609.20","3.44","Douglas-fir","1564.63","3.35","","10014.88","21.44","","46714.6","99.99","Norway spruce","3.49","0.01","Scots pine","1.94","0.00","Japanese larch","0.06","0.00","Noble fir","0.00","0.00","","","","","","","","5.49","0.01","","46720.09",""
"Cayman Islands","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Central African Republic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Colombia","2022","Macano o pilón","190.29","1.13","Bati o yapurá","176.29","1.05","Matamata, Cargadero blanco o cargadero de gavilán","172.90","1.03","Aceiton","157.94","0.94","Lechoso o Baco","155.70","0.93","Avina, cincuenta centavos o creolino","147.58","0.88","Sapan","141.45","0.84","Higuerillal, Siringa","130.67","0.78","Palo colorado, palo rojo","113.42","0.67","Caracolí o plátano mares","112.11","0.67","","15268.74","90.82","","16767.09","99.74","Pino rojo","9.26","0.06","Pino pátula o pino llorón","6.61","0.04","Eucalipto rosado","5.64","0.03","Pino amarillo","4.44","0.03","Teca","3.21","0.02","","14.99","0.09","","44.15","0.26","","16811.24",""
"Comoros","2010","Mrikudi","","","Mtsongoma msiru","","","Mwanga","","","Mfandrabo","","","Jambolanier","","","","","","","","","","","","","","","","","","","","","","","","Mkinini","","","","","","Manguier","","","","","","","","","","","","","","","","",""
"Congo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
