"","Production (1 000 ha)","Production (1 000 ha)","Production (1 000 ha)","Production (1 000 ha)","Production (1 000 ha)","Production (1 000 ha)","Protection of soil and water (1 000 ha)","Protection of soil and water (1 000 ha)","Protection of soil and water (1 000 ha)","Protection of soil and water (1 000 ha)","Protection of soil and water (1 000 ha)","Protection of soil and water (1 000 ha)","Conservation of biodiversity (1 000 ha)","Conservation of biodiversity (1 000 ha)","Conservation of biodiversity (1 000 ha)","Conservation of biodiversity (1 000 ha)","Conservation of biodiversity (1 000 ha)","Conservation of biodiversity (1 000 ha)","Social Services (1 000 ha)","Social Services (1 000 ha)","Social Services (1 000 ha)","Social Services (1 000 ha)","Social Services (1 000 ha)","Social Services (1 000 ha)","Multiple use (1 000 ha)","Multiple use (1 000 ha)","Multiple use (1 000 ha)","Multiple use (1 000 ha)","Multiple use (1 000 ha)","Multiple use (1 000 ha)","Other (specify in comments) (1 000 ha)","Other (specify in comments) (1 000 ha)","Other (specify in comments) (1 000 ha)","Other (specify in comments) (1 000 ha)","Other (specify in comments) (1 000 ha)","Other (specify in comments) (1 000 ha)","No designation (1 000 ha)","No designation (1 000 ha)","No designation (1 000 ha)","No designation (1 000 ha)","No designation (1 000 ha)","No designation (1 000 ha)","Unknown (1 000 ha)","Unknown (1 000 ha)","Unknown (1 000 ha)","Unknown (1 000 ha)","Unknown (1 000 ha)","Unknown (1 000 ha)","Total forest area (1 000 ha)","Total forest area (1 000 ha)","Total forest area (1 000 ha)","Total forest area (1 000 ha)","Total forest area (1 000 ha)","Total forest area (1 000 ha)"
"","1990","2000","2010","2015","2020","2025","1990","2000","2010","2015","2020","2025","1990","2000","2010","2015","2020","2025","1990","2000","2010","2015","2020","2025","1990","2000","2010","2015","2020","2025","1990","2000","2010","2015","2020","2025","1990","2000","2010","2015","2020","2025","1990","2000","2010","2015","2020","2025","1990","2000","2010","2015","2020","2025"
"Saudi Arabia","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2768.05","2768.05","2768.05","2768.05","2768.05","2775.55","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2768.05","2768.05","2768.05","2768.05","2768.05","2775.55"
"Senegal","0.15","0.15","415.87","952.57","1175.10","1518.50","1453.92","1397.62","1366.69","1267.80","1233.76","1755.53","1013.79","1500.79","1506.24","1564.12","1740.90","1802.91","1009.78","1009.92","1042.87","1042.87","1044.38","1664.63","5715.72","5129.43","4550.79","3977.38","3532.88","1907.75","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","9193.36","9037.91","8882.46","8804.74","8727.02","8649.32"
"Serbia","2013.00","1952.00","2276.00","1838.53","1787.00","1890.00","125.00","286.00","177.00","571.00","598.00","650.00","123.00","125.00","126.00","163.00","181.65","198.45","52.00","64.00","68.00","73.00","80.00","80.00","0.00","33.00","66.00","57.00","58.00","58.00","0.00","0.00","0.00","17.00","18.00","18.00","","","","","","","0.00","23.20","166.99","358.87","554.15","580.75","2313.00","2483.20","2879.99","3078.40","3276.80","3475.20"
"Seychelles","0.50","0.50","0.50","0.50","0.50","0.50","6.34","6.34","6.34","6.34","6.34","6.34","2.03","2.03","2.03","2.03","2.03","2.03","0.00","0.00","0.00","0.00","0.00","0.00","25.26","23.09","20.92","19.83","18.74","17.65","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","34.13","31.96","29.79","28.70","27.61","26.52"
"Sierra Leone","240.00","240.00","240.00","240.00","240.00","79.94","","","","","","","1.20","112.10","112.10","238.60","238.60","1070.53","","","","","","","","","","","","","","","","","","","","","","","","","2885.50","2577.33","2380.06","2154.93","2056.30","1285.80","3126.70","2929.43","2732.16","2633.53","2534.90","2436.27"
"Singapore","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","11.48","13.66","14.39","13.12","12.45","11.38","3.35","3.35","3.35","3.35","3.35","3.35","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","14.83","17.01","17.74","16.47","15.25","14.73"
"Sint Maarten (Dutch part)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.30","0.30","0.30","0.30","0.30","0.30","0.30","0.30","0.30","0.30","0.30","0.30"
"Slovakia","655.00","280.00","177.18","412.94","356.58","216.21","245.00","327.00","342.19","349.33","352.84","340.52","50.00","60.00","30.85","41.89","49.82","49.22","212.00","313.00","195.67","195.88","179.85","174.21","740.48","921.41","1172.02","921.71","992.12","1159.90","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.01","0.43","1902.48","1901.41","1917.91","1921.75","1931.22","1940.49"
"Slovenia","530.56","575.56","586.40","586.40","586.40","688.97","164.38","164.38","204.71","237.27","237.27","285.71","13.05","13.05","11.18","11.18","11.18","113.30","23.06","23.06","25.40","25.40","25.40","48.74","456.95","456.95","419.31","387.75","383.58","106.83","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1188.00","1233.00","1247.00","1248.00","1243.83","1243.55"
"Solomon Islands","554.20","538.20","376.30","376.30","373.57","370.30","613.90","613.90","613.90","613.90","613.90","613.90","491.50","491.50","491.50","491.50","491.50","491.50","0.04","0.04","0.04","0.04","0.04","0.04","880.70","888.70","1043.22","1039.53","1038.59","1038.19","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2539.71","2532.34","2524.96","2521.27","2517.60","2513.93"
"Somalia","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","35.00","35.00","35.00","35.00","35.00","35.00","0.00","0.00","0.00","0.00","0.00","0.00","8248.50","7481.00","6713.50","5944.00","5174.50","4794.75","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","8283.50","7516.00","6748.50","5979.00","5209.50","4829.75"
"South Africa","1270.00","1270.00","1270.00","1270.00","1270.00","1270.00","0.00","0.00","0.00","0.00","0.00","0.00","500.00","497.00","493.00","428.00","428.00","428.00","11.00","11.00","11.00","11.00","11.00","11.00","18035.56","18914.24","19793.92","20296.76","20734.59","21172.42","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","19816.56","20692.24","21567.92","22005.76","22443.59","22881.42"
"South Sudan","715.70","715.70","715.70","715.70","715.70","715.70","0.00","0.00","0.00","0.00","0.00","0.00","274.69","274.69","274.69","274.69","274.69","274.69","0.00","0.00","0.00","0.00","0.00","0.00","6113.81","6123.81","6145.81","6166.61","6162.11","6169.61","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","7104.20","7114.20","7136.20","7157.00","7152.50","7160.00"
"Spain","1269.19","3495.44","3412.25","3548.41","3552.43","3619.95","2861.71","3370.42","3395.77","3270.72","3274.42","3303.19","1200.42","1975.24","3499.45","4115.68","4120.33","4236.42","0.00","0.00","0.00","0.00","0.00","0.00","8573.34","8252.84","8259.44","7641.08","8035.76","7973.22","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","13904.66","17093.93","18566.19","18575.35","18982.06","19132.78"
"Sri Lanka","271.34","236.94","204.49","185.27","236.43","236.43","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2098.60","1994.20","1951.47","1912.98","1908.99","1884.26","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2369.94","2231.14","2155.96","2098.25","2145.41","2120.69"
"Sudan","1267.31","1267.31","1267.31","1267.31","1267.31","1267.31","0.00","0.00","0.00","0.00","0.00","0.00","4419.54","4419.54","4419.54","4419.54","4419.54","4419.54","0.00","0.00","0.00","0.00","0.00","0.00","22388.45","20647.05","18905.65","18034.95","17164.25","16293.55","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","28075.30","26333.90","24592.50","23721.80","22851.10","21980.40"
"Suriname","354.00","1686.00","1965.00","1956.76","2000.00","1702.22","16.85","16.85","143.17","141.97","140.77","139.57","1764.80","1764.60","1764.40","1764.30","1764.20","1742.24","0.00","0.00","0.00","0.00","0.00","0.00","527.00","527.00","702.00","702.74","762.74","778.36","0.00","0.00","0.00","3.36","3.36","63.50","0.00","0.00","0.00","0.00","0.00","0.00","12203.60","10907.53","10287.45","10269.48","10094.39","10248.31","14866.25","14901.98","14862.02","14838.61","14765.46","14674.20"
"Svalbard and Jan Mayen Islands","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Sweden","22830.00","20770.81","20032.91","19587.34","19401.00","19401.00","0.00","0.00","0.00","0.00","0.00","0.00","1393.00","3452.19","4278.09","5119.98","5612.00","5612.00","0.00","0.00","0.00","0.00","0.00","0.00","3840.00","3940.00","3762.00","3272.68","2921.00","2921.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","28063.00","28163.00","28073.00","27980.00","27934.00","27934.00"
"Switzerland","","374.56","368.77","370.28","379.37","382.13","","646.84","671.04","674.36","666.16","671.01","","54.28","80.75","95.01","110.93","111.74","","50.78","35.95","32.72","35.91","36.18","","0.00","0.00","0.00","0.00","0.00","","32.06","36.14","40.75","49.29","49.65","","37.66","42.06","35.58","16.20","16.31","1153.50","0.00","0.01","0.00","0.00","0.00","1153.50","1196.18","1234.72","1248.70","1257.86","1267.02"
"Syrian Arab Republic","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","186.38","186.38","186.38","186.38","187.38","187.38","0.00","0.00","0.00","0.00","0.00","0.00","264.61","274.39","325.60","340.89","340.27","340.43","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","450.99","460.77","511.98","527.27","527.65","527.81"
"Tajikistan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","408.00","410.00","410.00","421.80","423.00","424.50","408.00","410.00","410.00","421.80","423.00","424.50"
"Thailand","3702.00","3702.00","3702.00","3702.00","3961.00","3314.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","16533.00","16463.00","16393.00","16359.00","16376.56","16333.48","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","20235.00","20165.00","20095.00","20060.00","20337.56","19647.48"
"Timor-Leste","11.73","11.73","11.73","11.73","11.73","11.73","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","738.91","738.91","738.91","738.91","738.91","738.91","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","349.93","335.93","321.93","314.93","307.93","303.69","1100.57","1086.57","1072.57","1065.57","1058.57","1054.33"
"Togo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1298.06","1268.46","1238.87","1224.07","1209.26","1224.46","1298.06","1268.46","1238.87","1224.07","1209.26","1224.46"
"Tokelau","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Tonga","0.98","0.98","0.98","0.98","0.98","0.98","0.59","0.59","0.59","0.59","0.59","0.59","7.17","7.17","7.17","7.17","7.17","7.17","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","8.73","8.73","8.73","8.73","8.73","8.73"
"Trinidad and Tobago","75.90","75.90","75.90","75.90","75.90","75.90","51.30","51.30","51.30","51.30","51.30","51.30","19.50","19.50","19.50","19.50","19.50","19.50","5.00","5.00","8.00","8.00","8.00","8.00","89.20","84.95","77.71","75.59","73.49","71.35","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","240.90","236.65","232.41","230.29","228.17","226.05"
"Tunisia","0.00","0.00","0.00","0.00","0.00","0.00","625.69","648.54","640.23","640.53","634.60","623.09","18.69","19.30","63.20","64.40","64.40","64.40","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","643.98","667.84","703.43","704.93","699.00","687.49"
"Türkiye","7578.64","7713.56","8008.73","8261.52","8479.68","8710.48","7794.17","7945.60","8441.59","8560.68","8805.60","9025.90","17.58","17.90","18.60","19.17","19.67","20.21","1339.20","1363.04","1398.46","1459.87","1498.43","1539.20","3053.89","3108.25","3215.70","3329.06","3416.98","3509.97","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","19783.48","20148.35","21083.08","21630.30","22220.36","22805.76"
"Turkmenistan","","","","","","","","","","","","","104.00","104.00","104.00","104.00","104.00","104.00","","","","","","","","","","","","","","","","","","","","","","","","","2226.00","2226.00","2226.00","2226.00","2226.00","2226.00","2330.00","2330.00","2330.00","2330.00","2330.00","2330.00"
"Turks and Caicos Islands","","","","","","","","","","","","","","","","","","","","","","","","","3.68","3.68","3.68","3.68","3.68","3.68","","","","","","","","","","","","","6.84","6.84","6.84","6.84","6.84","6.84","10.52","10.52","10.52","10.52","10.52","10.52"
"Tuvalu","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.03","1.03","1.03","1.03","1.03","1.03","1.03","1.03","1.03","1.03","1.03","1.03"
"Uganda","169.97","268.36","366.76","415.96","465.16","514.35","","","","","","","794.88","720.06","600.99","624.58","845.40","818.20","","","","","","","791.24","626.19","531.80","504.39","608.50","546.96","","","","","","","","","","","","","2791.94","1786.23","1399.82","1103.71","589.10","488.16","4548.03","3400.84","2899.37","2648.64","2508.16","2367.67"
"Ukraine","4452.00","4121.00","3642.00","3674.00","3600.00","4410.00","2782.00","2228.00","2394.00","2435.00","2507.00","2507.00","276.00","802.00","1357.00","1396.00","1410.00","1410.00","1764.00","1628.00","1458.00","1450.00","1450.00","1450.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","731.00","697.00","702.00","723.00","723.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","43.00","210.00","0.00","9274.00","9510.00","9548.00","9700.00","9900.00","10090.00"
"United Arab Emirates","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","3.80","4.00","8.58","10.25","11.93","13.61","0.00","0.00","0.00","0.00","0.00","0.00","310.97","310.97","310.97","310.97","310.97","310.97","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","314.77","314.97","319.55","321.22","322.90","324.58"
"United Kingdom of Great Britain and Northern Ireland","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2778.00","2954.00","3059.00","3155.00","3215.00","3278.00","2778.00","2954.00","3059.00","3155.00","3215.00","3278.00"
"United Republic of Tanzania","1990.00","2000.00","2010.00","2015.00","2020.00","2020.00","1960.90","1971.80","1971.80","1971.80","1971.80","1971.80","9457.70","9457.70","9457.70","9457.70","9457.70","9457.70","0.00","0.00","0.00","0.00","0.00","0.00","44756.40","40705.50","36665.50","34645.50","32295.50","29950.50","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","58165.00","54135.00","50105.00","48090.00","45745.00","43400.00"
"United States of America","71033.00","81331.00","89212.00","91339.00","95691.00","80373.00","0.00","0.00","0.00","0.00","3558.53","3842.00","10772.00","12494.00","18139.00","17856.00","19045.00","19148.00","0.00","0.00","0.00","0.00","3287.78","3362.00","58626.00","58626.00","58626.00","58626.00","58626.00","56925.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","162019.00","151085.00","142743.00","142274.00","129046.69","145245.00","302450.00","303536.00","308720.00","310095.00","309255.00","308895.00"
"United States Virgin Islands","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.41","19.29","18.43","19.16","19.91","20.66","20.41","19.29","18.43","19.16","19.91","20.66"
"Uruguay","93.02","505.99","775.95","898.55","987.53","1067.41","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","16.91","17.91","17.19","16.07","17.63","17.63","700.51","737.40","825.51","839.00","844.92","847.00","69.30","75.00","77.28","80.77","81.96","81.96","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","48.51","879.44","1336.29","1695.93","1834.39","1932.03","2062.51"
"Uzbekistan","3.10","4.80","5.10","5.30","6.00","6.10","2040.00","2205.00","2269.50","2214.00","2532.00","2735.09","506.27","751.66","1075.00","1330.10","1151.66","1153.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2549.37","2961.46","3349.60","3549.40","3689.00","3894.19"
"Vanuatu","2.50","2.53","2.55","2.57","2.59","2.61","0.02","0.02","0.02","0.02","0.02","0.02","3.04","3.04","3.04","3.04","3.04","3.04","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","985.33","961.46","937.59","925.65","913.71","901.77","990.89","967.05","943.20","931.28","919.36","907.44"
"Venezuela (Bolivarian Republic of)","11687.59","14906.08","11281.54","11281.45","7637.73","7637.64","6043.96","6043.96","4784.55","4784.47","4784.38","4784.29","7635.51","7635.51","10213.56","10213.48","13857.10","13857.01","67.00","66.54","29.00","29.00","28.36","28.27","0.00","2794.58","2722.26","2722.18","2722.09","2721.99","6745.78","8500.35","8470.93","8470.84","8470.75","8470.66","18304.20","9284.56","10880.68","10378.36","9834.29","9588.38","0.00","0.00","0.00","0.00","0.00","0.00","50483.58","49231.58","48382.05","47879.23","47334.70","47088.24"
"Viet Nam","5707.00","4653.00","6373.49","6668.20","7784.38","7882.53","2925.00","5502.00","4846.18","4462.64","4685.50","4709.46","713.00","1570.00","2002.28","2106.51","2173.23","2198.09","0.00","0.00","0.00","0.00","0.00","0.00","30.96","59.10","166.11","824.51","34.11","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","9375.96","11784.10","13388.06","14061.86","14677.22","14790.08"
"Wallis and Futuna Islands","0.16","0.21","0.17","0.14","0.14","0.36","8.88","8.40","8.84","9.31","9.76","9.99","0.50","0.48","0.44","0.44","0.44","0.44","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.09","0.05","0.03","0.03","0.03","0.03","9.63","9.14","9.48","9.92","10.37","10.82"
"Western Sahara","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","605.45","539.54","537.23","539.50","533.21","529.22","605.45","539.54","537.23","539.50","533.21","529.22"
"Yemen","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","32.00","32.00","32.00","32.00","32.00","32.00","0.00","0.00","0.00","0.00","0.00","0.00","517.00","517.00","517.00","517.00","517.00","517.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","549.00","549.00","549.00","549.00","549.00","549.00"
"Zambia","0.00","0.00","0.00","0.00","0.00","0.00","8077.00","8077.00","7055.00","6819.25","6861.00","6861.00","23754.23","23754.23","24530.16","24392.30","24392.30","24392.30","0.00","0.00","0.00","0.00","0.00","0.00","15580.77","15222.77","15110.84","14543.55","14106.77","13620.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.99","47412.00","47054.00","46696.00","45755.10","45360.07","44874.29"
"Zimbabwe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16715.38","15658.19","14601.00","14302.67","14031.01","13766.01","16715.38","15658.19","14601.00","14302.67","14031.01","13766.01"
"© FRA 2026","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
