Country,Code,Forest_1990,Forest_2025,Forest_change,GDP_avg,Region,Income_group,log_GDP,Income_group_order,Outlier_type
Malaysia,MYS,62.76,57.48,-5.280000000000001,7154.3279738948095,East Asia & Pacific,Upper middle income,8.875472763595464,3,Expected pattern
Maldives,MDV,12.4,12.4,0.0,5915.620820779915,South Asia,Upper middle income,8.685351727926003,3,Expected pattern
Marshall Islands,MHL,52.22,53.94,1.7199999999999989,3451.6617759232035,East Asia & Pacific,Upper middle income,8.146611068238274,3,Expected pattern
Mauritius,MUS,20.57,19.17,-1.3999999999999986,6914.506743506396,Sub-Saharan Africa,Upper middle income,8.841376910174525,3,Expected pattern
Mexico,MEX,36.94,34.09,-2.8499999999999943,8505.107037457068,Latin America & Caribbean,Upper middle income,9.048422089989694,3,Expected pattern
Moldova,MDA,9.89,11.26,1.3699999999999992,2299.1275267656274,Europe & Central Asia,Upper middle income,7.740284993762211,3,Expected pattern
Mongolia,MNG,9.21,9.1,-0.1100000000000012,2343.1417703517027,East Asia & Pacific,Upper middle income,7.759247944723225,3,Expected pattern
Montenegro,MNE,46.54,61.49,14.950000000000005,6068.4997069845485,Europe & Central Asia,Upper middle income,8.710866688261756,3,Expected pattern
Namibia,NAM,10.65,9.77,-0.8800000000000008,3677.5621489421846,Sub-Saharan Africa,Upper middle income,8.210005352113129,3,Expected pattern
North Macedonia,MKD,36.16,40.69,4.530000000000001,4225.644119737552,Europe & Central Asia,Upper middle income,8.348926982547038,3,Expected pattern
Paraguay,PRY,64.85,36.1,-28.749999999999996,3753.9856020691204,Latin America & Caribbean,Upper middle income,8.230573381781912,3,Expected pattern
Peru,PER,60.19,52.47,-7.719999999999999,4210.684776404221,Latin America & Caribbean,Upper middle income,8.345380568177424,3,Expected pattern
Serbia,SRB,27.51,41.33,13.819999999999997,5843.238994408448,Europe & Central Asia,Upper middle income,8.673040544406367,3,Expected pattern
South Africa,ZAF,16.34,18.86,2.52,5299.283175631321,Sub-Saharan Africa,Upper middle income,8.57532684051224,3,Expected pattern
Suriname,SUR,92.62,91.42,-1.2000000000000028,4556.18863989998,Latin America & Caribbean,Upper middle income,8.424241728428969,3,Expected pattern
Thailand,THA,39.61,38.46,-1.1499999999999986,4225.611671675962,East Asia & Pacific,Upper middle income,8.348919303673652,3,Expected pattern
Tonga,TON,12.12,12.12,0.0,3054.657283381219,East Asia & Pacific,Upper middle income,8.024422683113528,3,Expected pattern
Turkey,TUR,25.71,29.63,3.919999999999998,7708.054792175356,Europe & Central Asia,Upper middle income,8.950021137990486,3,Expected pattern
Turkmenistan,TKM,4.96,4.96,0.0,3258.755871266332,Europe & Central Asia,Upper middle income,8.089100766938865,3,Expected pattern
Tuvalu,TUV,34.33,34.33,0.0,2844.9694176788566,East Asia & Pacific,Upper middle income,7.95330759700489,3,Expected pattern
Ukraine,UKR,16.01,17.41,1.3999999999999986,2412.0237234933043,Europe & Central Asia,Upper middle income,7.788221393409529,3,Expected pattern
Venezuela,VEN,57.23,53.39,-3.839999999999996,5166.5139217085525,Latin America & Caribbean,Upper middle income,8.549953450261938,3,Expected pattern
American Samoa,ASM,90.35,79.25,-11.099999999999994,11575.37566019524,East Asia & Pacific,High income,9.356635332872314,4,Expected pattern
Andorra,AND,37.64,38.77,1.1300000000000026,34124.77009588919,Europe & Central Asia,High income,10.437778795347766,4,Expected pattern
Antigua and Barbuda,ATG,22.98,17.7,-5.280000000000001,14242.239885303634,Latin America & Caribbean,High income,9.563967467912622,4,Expected pattern
Aruba,ABW,2.72,2.72,0.0,23517.494199517365,Latin America & Caribbean,High income,10.0654998572007,4,Expected pattern
Australia,AUS,17.5,17.36,-0.1400000000000005,40512.67342040289,East Asia & Pacific,High income,10.609370128104704,4,Expected pattern
Austria,AUT,45.75,47.31,1.5600000000000025,39482.83486678306,Europe & Central Asia,High income,10.583621296105902,4,Expected pattern
