country,code,forest_1990,forest_2025,forest_change,mean_gdp,region,income_group,log_gdp,peer_residual,outlier_category
North Macedonia,MKD,36.16,40.69,4.530000000000001,4225.644119737552,Europe & Central Asia,Upper middle income,8.348926982547038,4.530000000000001,expected_positive
Northern Mariana Islands,MNP,44.17,52.96,8.79,18842.01161701951,East Asia & Pacific,High income,9.843844316157597,7.58,expected_positive
Norway,NOR,33.54,33.24,-0.2999999999999971,65035.73704743413,Europe & Central Asia,High income,11.082692198522484,-1.5099999999999962,expected_negative
Oman,OMN,0.01,0.01,0.0,15350.12850479662,Middle East & North Africa,High income,9.63887912462829,,geographic_excluded
Pakistan,PAK,4.49,4.14,-0.3500000000000005,925.1711863189944,South Asia,Lower middle income,6.829978786680576,2.4799999999999978,expected_negative
Palau,PLW,82.93,91.02,8.08999999999999,10600.60432662726,East Asia & Pacific,High income,9.268666290421008,6.87999999999999,expected_positive
Panama,PAN,66.81,62.21,-4.600000000000001,8642.008986696623,Latin America & Caribbean,High income,9.064390356377547,-5.8100000000000005,expected_negative
Papua New Guinea,PNG,76.44,75.14,-1.2999999999999972,1647.8117029451314,East Asia & Pacific,Lower middle income,7.40720344601984,1.5300000000000011,expected_negative
Paraguay,PRY,64.85,36.1,-28.75,3753.98560206912,Latin America & Caribbean,Upper middle income,8.230573381781912,-28.75,expected_negative
Peru,PER,60.19,52.47,-7.719999999999999,4210.684776404221,Latin America & Caribbean,Upper middle income,8.345380568177424,-7.719999999999999,expected_negative
Philippines,PHL,26.09,24.95,-1.1400000000000006,2002.2182111727031,East Asia & Pacific,Lower middle income,7.602010950525231,1.6899999999999977,expected_negative
Poland,POL,29.02,31.02,2.0,10080.325450916314,Europe & Central Asia,High income,9.218340827901406,0.7900000000000009,expected_positive
Portugal,PRT,37.54,36.71,-0.8299999999999983,18092.67230356933,Europe & Central Asia,High income,9.803262290175343,-2.0399999999999974,expected_negative
Puerto Rico,PRI,34.25,49.16,14.909999999999997,22665.103199446687,Latin America & Caribbean,High income,10.028581716616149,13.699999999999998,expected_positive
Qatar,QAT,0.12,0.12,0.0,52461.09703846829,Middle East & North Africa,High income,10.867827165105917,,geographic_excluded
Romania,ROU,27.69,30.24,2.549999999999997,7054.226815928309,Europe & Central Asia,High income,8.861382264507627,1.339999999999998,expected_positive
Rwanda,RWA,17.71,25.72,8.009999999999998,504.0674476910792,Sub-Saharan Africa,Low income,6.222710083901519,12.389999999999997,poor_reforester
Samoa,WSM,63.52,57.47,-6.050000000000004,2792.2696003292394,East Asia & Pacific,Lower middle income,7.934610020942987,-3.220000000000006,expected_negative
San Marino,SMR,16.67,16.67,0.0,51211.719495147045,Europe & Central Asia,High income,10.843723681224407,-1.209999999999999,expected_positive
Saudi Arabia,SAU,1.29,1.29,0.0,19660.58272522671,Middle East & North Africa,High income,9.886371033405675,,geographic_excluded
Senegal,SEN,47.75,44.92,-2.8299999999999983,1110.2714134624246,Sub-Saharan Africa,Lower middle income,7.012359781049876,0.0,expected_negative
Serbia,SRB,27.51,41.33,13.819999999999997,5843.238994408448,Europe & Central Asia,Upper middle income,8.673040544406367,13.819999999999997,expected_positive
Seychelles,SYC,74.2,57.65,-16.550000000000004,11649.644323688832,Sub-Saharan Africa,High income,9.363030928372329,-17.760000000000005,rich_deforester
