country,code,forest_1990,forest_2025,forest_change,mean_gdp,region,income_group
Palau,PLW,82.93,91.02,8.08999999999999,10600.60432662726,East Asia & Pacific,High income
Panama,PAN,66.81,62.21,-4.600000000000001,8642.008986696623,Latin America & Caribbean,High income
Papua New Guinea,PNG,76.44,75.14,-1.2999999999999972,1647.8117029451314,East Asia & Pacific,Lower middle income
Paraguay,PRY,64.85,36.1,-28.749999999999996,3753.9856020691204,Latin America & Caribbean,Upper middle income
Peru,PER,60.19,52.47,-7.719999999999999,4210.684776404221,Latin America & Caribbean,Upper middle income
Philippines,PHL,26.09,24.95,-1.1400000000000006,2002.2182111727031,East Asia & Pacific,Lower middle income
Poland,POL,29.02,31.02,2.0,10080.325450916314,Europe & Central Asia,High income
Portugal,PRT,37.54,36.71,-0.8299999999999983,18092.67230356933,Europe & Central Asia,High income
Puerto Rico,PRI,34.25,49.16,14.909999999999997,22665.103199446687,Latin America & Caribbean,High income
Qatar,QAT,0.12,0.12,0.0,52461.09703846829,Middle East & North Africa,High income
Romania,ROU,27.69,30.24,2.549999999999997,7054.226815928309,Europe & Central Asia,High income
Rwanda,RWA,17.71,25.72,8.009999999999998,504.0674476910792,Sub-Saharan Africa,Low income
Samoa,WSM,63.52,57.47,-6.050000000000004,2792.2696003292394,East Asia & Pacific,Lower middle income
San Marino,SMR,16.67,16.67,0.0,51211.719495147045,Europe & Central Asia,High income
Saudi Arabia,SAU,1.29,1.29,0.0,19660.58272522671,Middle East & North Africa,High income
Senegal,SEN,47.75,44.92,-2.8299999999999983,1110.2714134624246,Sub-Saharan Africa,Lower middle income
Serbia,SRB,27.51,41.33,13.819999999999997,5843.238994408448,Europe & Central Asia,Upper middle income
Seychelles,SYC,74.2,57.65,-16.550000000000004,11649.644323688832,Sub-Saharan Africa,High income
Sierra Leone,SLE,43.32,33.75,-9.57,561.6440036032269,Sub-Saharan Africa,Low income
Singapore,SGP,20.65,22.01,1.360000000000003,42583.48328915204,East Asia & Pacific,High income
Sint Maarten (Dutch part),SXM,8.82,8.82,0.0,33181.23086598076,Latin America & Caribbean,High income
Slovenia,SVN,59.0,61.76,2.759999999999998,18757.6027579995,Europe & Central Asia,High income
Solomon Islands,SLB,90.74,89.82,-0.9200000000000016,1484.6573184589793,East Asia & Pacific,Lower middle income
Somalia,SOM,13.2,7.7,-5.499999999999999,366.407161967126,Sub-Saharan Africa,Low income
South Africa,ZAF,16.34,18.86,2.52,5299.283175631321,Sub-Saharan Africa,Upper middle income
South Sudan,SSD,11.24,11.33,0.0899999999999998,1375.87731816094,Sub-Saharan Africa,Low income
Spain,ESP,27.83,38.29,10.46,24184.065510137232,Europe & Central Asia,High income
Sri Lanka,LKA,38.31,34.28,-4.030000000000001,2205.5380294002102,South Asia,Lower middle income
Sudan,SDN,15.03,11.77,-3.26,840.0392355782647,Sub-Saharan Africa,Low income
Suriname,SUR,92.62,91.42,-1.2000000000000028,4556.18863989998,Latin America & Caribbean,Upper middle income
Sweden,SWE,68.9,68.59,-0.3100000000000023,44188.043627968786,Europe & Central Asia,High income
Switzerland,CHE,29.2,32.07,2.870000000000001,65779.39484576517,Europe & Central Asia,High income
Tajikistan,TJK,2.94,3.06,0.1200000000000001,589.0816072613007,Europe & Central Asia,Lower middle income
Tanzania,TZA,65.66,49.0,-16.659999999999997,660.1296125139512,Sub-Saharan Africa,Lower middle income
Thailand,THA,39.61,38.46,-1.1499999999999986,4225.611671675962,East Asia & Pacific,Upper middle income
Togo,TGO,23.87,22.51,-1.3599999999999994,658.2189797213525,Sub-Saharan Africa,Low income
Tonga,TON,12.12,12.12,0.0,3054.657283381219,East Asia & Pacific,Upper middle income
Trinidad and Tobago,TTO,46.96,44.06,-2.8999999999999986,12562.440889946065,Latin America & Caribbean,High income
Tunisia,TUN,4.15,4.43,0.2799999999999993,3142.092089357306,Middle East & North Africa,Lower middle income
Turkmenistan,TKM,4.96,4.96,0.0,3258.755871266332,Europe & Central Asia,Upper middle income
Turks and Caicos Islands,TCA,11.07,11.07,0.0,27100.250203563803,Latin America & Caribbean,High income
Tuvalu,TUV,34.33,34.33,0.0,2844.9694176788566,East Asia & Pacific,Upper middle income
Uganda,UGA,22.68,11.81,-10.87,540.2719126227385,Sub-Saharan Africa,Low income
Ukraine,UKR,16.01,17.41,1.3999999999999986,2412.0237234933043,Europe & Central Asia,Upper middle income
United Arab Emirates,ARE,4.43,4.57,0.1400000000000005,38315.65854496015,Middle East & North Africa,High income
United Kingdom,GBR,11.48,13.55,2.0700000000000003,36700.15879625829,Europe & Central Asia,High income
United States,USA,33.06,33.77,0.7100000000000009,47077.17050204633,North America,High income
Uruguay,URY,5.02,11.56,6.540000000000001,11204.938408060514,Latin America & Caribbean,High income
Uzbekistan,UZB,5.79,8.84,3.05,1385.4404740240027,Europe & Central Asia,Lower middle income
Vanuatu,VUT,81.29,74.44,-6.8500000000000085,2275.5558349593134,East Asia & Pacific,Lower middle income
Vietnam,VNM,29.91,47.19,17.279999999999998,1593.682662959924,East Asia & Pacific,Lower middle income
Zambia,ZMB,63.78,60.36,-3.4200000000000017,934.5875882190619,Sub-Saharan Africa,Lower middle income
Zimbabwe,ZWE,43.21,35.58,-7.630000000000003,1153.0358118115823,Sub-Saharan Africa,Lower middle income
Bahamas,BHS,50.94,50.94,0.0,25364.75104199548,Latin America & Caribbean,High income
Brunei,BRN,78.37,72.11,-6.260000000000005,29356.312431852235,East Asia & Pacific,High income
Cape Verde,CPV,8.31,12.67,4.359999999999999,2685.1962607303362,Sub-Saharan Africa,Lower middle income
Congo,COG,65.17,63.99,-1.1799999999999995,1907.6967322552919,Sub-Saharan Africa,Lower middle income
Cote d'Ivoire,,26.09,11.87,-14.22,,,
Curacao,,0.16,0.16,0.0,,,
Democratic Republic of Congo,COD,70.81,61.4,-9.410000000000004,335.08061334651467,Sub-Saharan Africa,Low income
East Timor,TLS,74.01,70.9,-3.1099999999999994,845.2255676472947,East Asia & Pacific,Lower middle income
