,1990,2000,2010,2015,2020,2025
Martinique,45.132075471698116,45.9811320754717,47.44339622641509,48.386792452830186,49.33018867924528,49.68867924528302
Mauritania,0.8995342970796546,0.925031531968565,0.9505190647133017,0.9632676821577569,0.9760162996022121,0.9887746191908412
Mauritius,20.23152709359606,20.655172413793103,18.89655172413793,18.866995073891623,18.86206896551724,19.173760640961444
Mayotte,51.47058823529412,39.54545454545455,27.834224598930486,26.8716577540107,26.12299465240642,26.208026208026205
Mexico,36.93712801255176,35.80012860413076,35.060392499807094,34.74536896525116,34.41673911366033,34.08811440623472
Micronesia (Federated States of),90.82857142857142,91.22857142857143,91.6142857142857,91.8142857142857,92.02857142857142,92.24285714285713
Monaco,0.0,0.0,0.0,0.0,0.0,0.0
Mongolia,9.274680799956728,9.217748011601365,9.108051898281916,9.10469149761818,9.103221892835396,9.097421764186302
Montenegro,46.54275092936803,46.54275092936803,61.486988847583646,61.486988847583646,61.486988847583646,61.486988847583646
Montserrat,35.0,24.2,24.2,24.2,24.2,24.2
Morocco,12.773896482186869,12.768698185077302,12.762043468518932,12.749047725745013,12.757719023078648,12.761236836208829
Mozambique,52.8865306849106,49.490856837661184,46.095182990411764,44.397352425036246,42.69950914316234,41.00167857778682
Myanmar,60.009303179606455,53.352679254521526,48.129381869393505,45.92460341765174,43.734015658755574,41.514578577228924
Namibia,10.651374363832915,9.7888714790657,9.781037058630616,9.77712592160721,9.773202638195533,9.769291501172127
Nauru,0.0,0.0,0.0,0.0,0.0,0.0
Nepal,40.19657342657342,41.26627136379491,42.434112312521805,42.55633065922567,43.134635507499134,43.71294035577258
Netherlands (Kingdom of the),10.228969194312794,10.648696682464456,11.072635635932405,10.835461835461835,10.902286902286901,10.96911196911197
New Caledonia,45.46663019693654,45.834245076586434,45.89824945295405,48.82986870897155,48.82986870897155,48.82986870897155
New Zealand,35.59405263757549,37.41004899168281,37.40123808438723,37.39550339903536,37.846226880862865,39.1288974972466
Nicaragua,58.990360644839626,50.73707827821173,42.48379591158384,41.5647332557753,40.645919893634705,39.72660794415822
Niger,1.5354859082655719,1.0484724086208257,0.9504223573063868,0.9013973316491671,0.8523723059919476,0.8329517644272519
Nigeria,23.684201280235406,22.29106140957651,20.89792153891762,20.201346113727944,19.504781668258726,18.808217222789505
Niue,72.8076923076923,72.4230769230769,72.1923076923077,72.38461538461539,72.57692307692308,72.57692307692308
Norfolk Island,12.25,12.25,12.25,12.25,12.25,12.25
North Macedonia,35.863153755407,37.65434526150216,38.08207771609833,39.42902458366376,41.32910388580491,40.68596352101506
Northern Mariana Islands,44.173913043478265,44.173913043478265,44.173913043478265,52.95652173913044,52.95652173913044,52.95652173913044
Norway,40.15457886052734,40.09413435180742,39.93212784943887,39.88579618860395,39.86150040894771,33.24083784006368
Oman,0.005169628432956382,0.005169628432956382,0.005169628432956382,0.005169628432956382,0.005169628432956382,0.005169628432956382
Pakistan,4.489687110834371,4.3027578870900784,4.105476857617268,3.9384210253217105,4.006499066002491,4.14131901203819
Palau,82.93478260869564,86.04347826086956,88.17391304347827,89.10869565217392,90.04347826086956,91.02173913043478
Palestine,1.5083056478405317,1.5083056478405317,1.6578073089701,1.755813953488372,1.8438538205980066,1.8423236514522818
