"","Forest (1 000 ha)","Forest (1 000 ha)","Forest (1 000 ha)","Forest (1 000 ha)","Forest (1 000 ha)","Forest (1 000 ha)","Total land area (1 000 ha)","Total land area (1 000 ha)","Total land area (1 000 ha)","Total land area (1 000 ha)","Total land area (1 000 ha)","Total land area (1 000 ha)"
"","1990","2000","2010","2015","2020","2025","1990","2000","2010","2015","2020","2025"
"Kuwait","3.45","4.99","5.39","6.09","6.30","6.30","1782.00","1782.00","1782.00","1782.00","1782.00","1782.00"
"Kyrgyzstan","1136.42","1180.90","1226.84","1246.94","1255.16","1255.48","19180.00","19180.00","19180.00","19180.00","19180.00","19180.00"
"Lao People's Democratic Republic","14399.28","14050.04","13660.59","13369.40","13212.71","13036.04","23080.00","23080.00","23080.00","23080.00","23080.00","23080.00"
"Latvia","3173.00","3241.00","3372.12","3398.62","3434.13","3466.96","6222.70","6222.70","6222.70","6222.70","6223.00","6223.00"
"Lebanon","137.92","138.89","139.87","140.36","140.84","141.32","1023.00","1023.00","1023.00","1023.00","1023.00","1023.00"
"Lesotho","34.52","34.52","34.52","34.52","34.52","34.52","3036.00","3036.00","3036.00","3036.00","3036.00","3036.00"
"Liberia","8008.76","8008.76","7619.78","7036.57","6529.42","6326.52","9632.00","9632.00","9632.00","9632.00","9632.00","9632.00"
"Libya","217.00","213.67","210.34","208.67","207.00","205.33","175954.00","175954.00","175954.00","175954.00","175954.00","175954.00"
"Liechtenstein","5.20","5.38","5.55","5.55","5.55","5.98","16.00","16.00","16.00","16.00","16.00","16.00"
"Lithuania","1945.00","2020.00","2170.00","2187.00","2202.19","2216.34","6268.00","6268.00","6267.50","6265.00","6262.00","6260.00"
"Luxembourg","85.80","86.70","88.70","88.70","88.70","88.70","257.45","257.45","257.45","257.45","257.45","257.45"
"Madagascar","13677.14","13014.36","11946.26","11145.60","10543.47","9922.08","58154.00","58154.00","58154.00","58180.00","58180.00","58180.00"
"Malawi","3501.76","3081.70","2661.70","2451.70","2241.70","2031.70","9428.00","9428.00","9428.00","9428.00","9428.00","9428.00"
"Malaysia","20618.50","19691.35","18947.65","19464.22","19184.74","18884.74","32855.00","32855.00","32855.00","32855.00","32855.00","32855.00"
"Maldives","3.72","3.72","3.72","3.72","3.72","3.72","30.00","30.00","30.00","30.00","30.00","29.80"
"Mali","13998.36","12992.90","11987.44","11484.71","10981.98","10479.25","122019.00","122019.00","122019.00","122019.00","122019.00","122019.00"
"Malta","0.35","0.35","0.35","0.35","0.46","0.47","32.00","32.00","32.00","32.00","32.00","32.00"
"Marshall Islands","9.40","9.40","9.40","9.40","9.71","9.71","18.00","18.00","18.00","18.00","18.00","18.00"
"Martinique","47.84","48.74","50.29","51.29","52.29","52.67","106.00","106.00","106.00","106.00","106.00","106.00"
"Mauritania","927.15","953.43","979.70","992.84","1005.98","1019.13","103070.00","103070.00","103070.00","103070.00","103070.00","103070.00"
"Mauritius","41.07","41.93","38.36","38.30","38.29","38.29","203.00","203.00","203.00","203.00","203.00","199.70"
