Entity,Code,Year,Share of land covered by forest,Share of land covered by forest (Annotations)
Spain,ESP,diff_2025_minus_1990,10.462230000000002,
Sri Lanka,LKA,diff_2025_minus_1990,-4.029258000000006,
Sudan,SDN,diff_2025_minus_1990,-3.2627950000000006,
Suriname,SUR,diff_2025_minus_1990,-1.1965140000000076,
Sweden,SWE,diff_2025_minus_1990,-0.3167399999999958,
Switzerland,CHE,diff_2025_minus_1990,2.8732229999999994,
Syria,SYR,diff_2025_minus_1990,0.41484029999999983,
Tajikistan,TJK,diff_2025_minus_1990,0.11888480000000001,
Tanzania,TZA,diff_2025_minus_1990,-16.668539999999993,
Thailand,THA,diff_2025_minus_1990,-1.149993000000002,
Togo,TGO,diff_2025_minus_1990,-1.3531900000000014,
Tonga,TON,diff_2025_minus_1990,0.0,
Trinidad and Tobago,TTO,diff_2025_minus_1990,-2.8947369999999992,
Tunisia,TUN,diff_2025_minus_1990,0.28005950000000013,
Turkey,TUR,diff_2025_minus_1990,3.926925999999998,
Turkmenistan,TKM,diff_2025_minus_1990,0.0,
Turks and Caicos Islands,TCA,diff_2025_minus_1990,0.0,
Tuvalu,TUV,diff_2025_minus_1990,0.0,
Uganda,UGA,diff_2025_minus_1990,-10.873529000000001,
Ukraine,UKR,diff_2025_minus_1990,1.4083520000000007,
United Arab Emirates,ARE,diff_2025_minus_1990,0.13812999999999942,
United Kingdom,GBR,diff_2025_minus_1990,2.066714000000001,
United States,USA,diff_2025_minus_1990,0.7045749999999984,
United States Virgin Islands,VIR,diff_2025_minus_1990,0.7142869999999988,
Upper-middle-income countries,,diff_2025_minus_1990,-2.819747999999997,
Uruguay,URY,diff_2025_minus_1990,6.539596,
Uzbekistan,UZB,diff_2025_minus_1990,3.0518874999999994,
Vanuatu,VUT,diff_2025_minus_1990,-6.845775000000003,
Venezuela,VEN,diff_2025_minus_1990,-3.849373,
Vietnam,VNM,diff_2025_minus_1990,17.273833999999997,
Western Sahara,ESH,diff_2025_minus_1990,-0.2802572000000001,
World,OWID_WRL,diff_2025_minus_1990,-1.5673719999999989,
Yemen,YEM,diff_2025_minus_1990,0.0,
Zambia,ZMB,diff_2025_minus_1990,-3.413705,
Zimbabwe,ZWE,diff_2025_minus_1990,-7.624068999999999,
