"","Policies supporting SFM","Policies supporting SFM","Legislations and regulations supporting SFM","Legislations and regulations supporting SFM","Platform that promotes or allows for stakeholder participation in forest policy development","Platform that promotes or allows for stakeholder participation in forest policy development","Traceability system(s) for wood products","Traceability system(s) for wood products"
"","National","Sub-national","National","Sub-national","National","Sub-national","National","Sub-national"
"Syrian Arab Republic","yes","yes","yes","yes","no","no","no","no"
"Tajikistan","yes","yes","yes","yes","yes","yes","yes","yes"
"Thailand","yes","no","yes","no","yes","no","yes","no"
"Timor-Leste","yes","yes","yes","yes","yes","yes","yes","yes"
"Togo","yes","no","yes","no","yes","no","yes","no"
"Tokelau","no","no","no","no","no","no","no","no"
"Tonga","yes","yes","yes","yes","yes","yes","yes","yes"
"Trinidad and Tobago","yes","no","yes","no","yes","no","yes","no"
"Tunisia","yes","yes","yes","yes","yes","yes","no","no"
"Türkiye","yes","yes","yes","yes","yes","yes","yes","yes"
"Turkmenistan","yes","","yes","","","","",""
"Turks and Caicos Islands","","","","","","","",""
"Tuvalu","no","no","yes","yes","no","no","no","no"
"Uganda","yes","no","yes","no","yes","no","yes","no"
"Ukraine","yes","yes","yes","","yes","yes","yes",""
"United Arab Emirates","yes","yes","yes","yes","yes","yes","yes","yes"
"United Kingdom of Great Britain and Northern Ireland","yes","yes","yes","yes","no","yes","yes","no"
"United Republic of Tanzania","yes","yes","yes","yes","yes","yes","yes","yes"
"United States of America","yes","yes","yes","yes","yes","yes","no","no"
"United States Virgin Islands","yes","yes","yes","yes","yes","yes","yes","yes"
"Uruguay","yes","no","yes","no","yes","no","yes","no"
"Uzbekistan","yes","yes","yes","yes","yes","yes","no","no"
"Vanuatu","yes","yes","yes","yes","yes","yes","no","no"
"Venezuela (Bolivarian Republic of)","yes","yes","yes","yes","no","no","yes","yes"
"Viet Nam","yes","no","yes","no","yes","no","yes","no"
"Wallis and Futuna Islands","no","no","no","no","no","no","no","no"
"Western Sahara","","","","","","","",""
"Yemen","no","no","no","no","no","no","no","no"
"Zambia","yes","no","yes","no","yes","yes","yes","no"
"Zimbabwe","yes","yes","yes","yes","yes","yes","no","no"
"© FRA 2026","","","","","","","",""
